,benzin_kw9,mastrind_kw21,platin_yearend,baumwolle,mais_dez,turn_of_month,eom_treasury,auction_short,vix_carry,pre_fomc,usd_regime,wheat_rv
benzin_kw9,1.0,-0.003112717071807453,-0.0024125424858211513,-0.002518246516152495,-0.00360372252886307,0.04728729515438381,-0.06888360201143055,-0.009425760534523243,0.010349293728412009,-0.0031767159571372454,0.06262605870315807,-0.003361104764391474
mastrind_kw21,-0.003112717071807453,1.0,-0.0018735177842984548,-0.0019556047866462686,-0.0027985572429013155,-0.0021008741092353863,0.002557789480653469,-0.0011749629509772241,0.010436614616905936,-0.0024669550386531625,0.017471442214346072,0.01927089556959349
platin_yearend,-0.0024125424858211513,-0.0018735177842984548,1.0,0.03001101601132269,-0.011370620488043277,0.03411380980809326,-0.0030287239323033687,-0.00689060900713892,0.02846448549832456,-0.0018932164043928292,0.04670638946475493,0.007424105063375582
baumwolle,-0.002518246516152495,-0.0019556047866462686,0.03001101601132269,1.0,0.04700974331845407,0.027122898599592136,-0.009676398407779112,0.012393719583613997,0.039256965652759296,0.0028729496062867045,0.04835556737721869,0.0027144435798534036
mais_dez,-0.00360372252886307,-0.0027985572429013155,-0.011370620488043277,0.04700974331845407,1.0,-0.001268153807814316,-0.001152279875465741,0.009443715860706872,-0.0056034287288551,0.11029850410975926,0.003323776058764997,0.04664219722881425
turn_of_month,0.04728729515438381,-0.0021008741092353863,0.03411380980809326,0.027122898599592136,-0.001268153807814316,1.0,-0.20202434885597986,0.07077792760510453,0.17845293393582493,0.02514317630809349,0.14278577378095456,0.008101888022575455
eom_treasury,-0.06888360201143055,0.002557789480653469,-0.0030287239323033687,-0.009676398407779112,-0.001152279875465741,-0.20202434885597986,1.0,-0.008154186284453668,-0.06681722595392717,0.001706249530531515,-0.040139551393231276,-0.0030992437239645426
auction_short,-0.009425760534523243,-0.0011749629509772241,-0.00689060900713892,0.012393719583613997,0.009443715860706872,0.07077792760510453,-0.008154186284453668,1.0,0.08066291850291302,-0.0017859849286343853,0.08822947672256343,-0.012421185865800663
vix_carry,0.010349293728412009,0.010436614616905936,0.02846448549832456,0.039256965652759296,-0.0056034287288551,0.17845293393582493,-0.06681722595392717,0.08066291850291302,1.0,0.04055195736270277,0.13366798701848415,0.00013632488486816608
pre_fomc,-0.0031767159571372454,-0.0024669550386531625,-0.0018932164043928292,0.0028729496062867045,0.11029850410975926,0.02514317630809349,0.001706249530531515,-0.0017859849286343853,0.04055195736270277,1.0,0.04978887556264601,0.002605224208198218
usd_regime,0.06262605870315807,0.017471442214346072,0.04670638946475493,0.04835556737721869,0.003323776058764997,0.14278577378095456,-0.040139551393231276,0.08822947672256343,0.13366798701848415,0.04978887556264601,1.0,0.0033417823763727044
wheat_rv,-0.003361104764391474,0.01927089556959349,0.007424105063375582,0.0027144435798534036,0.04664219722881425,0.008101888022575455,-0.0030992437239645426,-0.012421185865800663,0.00013632488486816608,0.002605224208198218,0.0033417823763727044,1.0
