ts,strategy,ticker,side,qty,notional,signal_time,signal_price,arrival_price,fill_time,fill_price,commission,latency_bps,execution_bps,fee_bps,total_bps,latency_seconds
2026-06-24T07:21:29.796189+00:00,Trend Following,SPY,1,3141.0,639774.4270346662,2026-06-03 19:09:00,203.6074539132183,203.6400384551908,2026-06-03 19:09:00.809346147,203.68494970858524,10.993500000000001,1.6003609566460686,2.205423537293631,0.1718340017270543,3.977618495666754,0.809346
2026-06-24T07:21:29.805249+00:00,Trend Following,SPY,1,3391.0,1073148.398480914,2026-06-07 06:07:00,316.3988956966235,316.42253088163403,2026-06-07 06:07:01.463819392,316.46959554140784,11.868500000000001,0.7470059261258488,1.4873991318720385,0.11059514245001299,2.3450002004479003,1.463819
2026-06-24T07:21:29.807168+00:00,Trend Following,SPY,1,3721.0,1024972.2440594741,2026-06-07 06:09:00,275.35279202823256,275.4051584285256,2026-06-07 06:09:01.310625235,275.4561257886251,13.0235,1.901792965574797,1.8506320066883868,0.12706197729237545,3.879486949555559,1.310625
2026-06-24T07:21:29.808709+00:00,Trend Following,SPY,1,827.0,59840.841791232306,2026-06-11 12:41:00,72.33603963646136,72.34835672969014,2026-06-11 12:41:00.995721136,72.35893807887824,2.8945,1.7027602410465674,1.4625555667608525,0.4836997464203609,3.6490155542277805,0.995721
2026-06-24T07:21:29.810237+00:00,Trend Following,SPY,1,3888.0,1410026.1342618614,2026-06-06 01:18:00,362.59239246276917,362.6162270292317,2026-06-06 01:18:01.309633219,362.6610427628244,13.608,0.6573377422690196,1.2358998371327925,0.09650884951237935,1.9897464289141915,1.309633
2026-06-24T07:21:29.811777+00:00,Trend Following,SPY,1,1593.0,165747.85298594134,2026-06-14 10:30:00,104.00132222364175,104.01530683218049,2026-06-14 10:30:01.046327181,104.04761643813015,5.5755,1.3446568024070495,3.1062357006543446,0.3363844477957076,4.787276950857102,1.046327
2026-06-24T07:21:29.813248+00:00,Trend Following,SPY,-1,1607.0,344337.3960020175,2026-06-10 12:49:00,214.34453394653278,214.30374036994436,2026-06-10 12:49:00.952655635,214.27342626136746,5.6245,1.9031778341774312,1.4145394067584947,0.16334270007568527,3.481059941011611,0.952655
2026-06-24T07:21:29.814689+00:00,Trend Following,SPY,1,3117.0,886894.0832880676,2026-06-12 13:25:00,284.4348981388786,284.48025422265073,2026-06-12 13:25:01.269648396,284.5345150106088,10.9095,1.5946033369632446,1.9073657012273266,0.1230079240077255,3.624976962198297,1.269648
2026-06-24T07:21:29.816127+00:00,Trend Following,SPY,-1,1672.0,252244.70869440198,2026-06-12 13:34:00,150.91483637558542,150.8892239694329,2026-06-12 13:34:01.220273720,150.86406022392464,5.852,1.6971430223593438,1.6676966615819622,0.23199693782634626,3.5968366217676526,1.220273
2026-06-24T07:21:29.817657+00:00,Trend Following,SPY,1,1253.0,407833.6578147969,2026-06-11 20:14:00,325.42353212574847,325.4725093625004,2026-06-11 20:14:01.058888203,325.48576042681316,4.3855,1.5050305806706055,0.4071331351067936,0.10753158587983729,2.0196953016572365,1.058888
2026-06-24T07:21:29.819207+00:00,Trend Following,SPY,-1,2361.0,233500.09442277288,2026-06-10 02:08:00,98.9289493446801,98.90722501188544,2026-06-10 02:08:00.695139068,98.89881169960732,8.2635,2.1959530489878922,0.8506266632302613,0.35389707316512653,3.4004767853832796,0.695139
2026-06-24T07:21:29.820680+00:00,Trend Following,SPY,1,544.0,172908.8507056532,2026-06-08 18:24:00,317.74960009560897,317.78551223332664,2026-06-08 18:24:01.438004170,317.8471520324507,1.9040000000000001,1.1302024520838951,1.939666748520884,0.11011582068989773,3.179985021294677,1.438004
2026-06-24T07:21:29.822132+00:00,Trend Following,SPY,-1,317.0,64284.228788946326,2026-06-14 18:53:00,202.85108623132683,202.81687781554584,2026-06-14 18:53:00.860013835,202.7893652648149,1.1095,1.6863807050056647,1.3565217563379623,0.17259287711806204,3.215495338461689,0.860013
2026-06-24T07:21:29.823602+00:00,Trend Following,SPY,-1,1850.0,130211.89362457287,2026-06-10 04:38:00,70.40595959117312,70.3961187488735,2026-06-10 04:38:01.071824206,70.38480736463399,6.4750000000000005,1.397728595242936,1.6068193020514205,0.4972664032264772,3.501814300520834,1.0718239999999999
2026-06-24T07:21:29.825190+00:00,Trend Following,SPY,-1,3178.0,897582.9707609513,2026-06-05 11:04:00,282.5097391145856,282.48847961349276,2026-06-05 11:04:01.091083846,282.43642881087203,11.123000000000001,0.7525227682233586,1.842581428168108,0.12392169150190277,2.7190258878933693,1.091083
2026-06-24T07:21:29.826669+00:00,Trend Following,SPY,1,2924.0,238400.47233246977,2026-06-03 05:45:00,81.51675127147462,81.51710446956575,2026-06-03 05:45:01.203748235,81.53230927923043,10.234,0.04332828352752543,1.8652293605886772,0.4292776729790961,2.3378353170952986,1.203748
2026-06-24T07:21:29.828087+00:00,Trend Following,SPY,-1,778.0,228440.4403043689,2026-06-04 07:35:00,293.7121312772076,293.66712552980175,2026-06-04 07:35:01.176084536,293.625244607158,2.723,1.5323080871790742,1.4261358866169735,0.11919956012919324,3.077643533925241,1.176084
2026-06-24T07:21:29.829489+00:00,Trend Following,SPY,1,1487.0,262664.5733840728,2026-06-14 08:37:00,176.63441369368667,176.6316283460068,2026-06-14 08:37:01.319932268,176.640600796283,5.2045,-0.1576899779389205,0.5079752907340783,0.19814244201062808,0.5484277548057859,1.319932
2026-06-24T07:21:29.830922+00:00,Trend Following,SPY,1,2858.0,408983.5159060745,2026-06-04 15:02:00,143.05448651083185,143.08366079444292,2026-06-04 15:02:00.919914695,143.10130017707294,10.003,2.039382638227216,1.232802021704201,0.24458198462691216,3.5167666445583294,0.919914
2026-06-24T07:21:29.832410+00:00,Trend Following,SPY,-1,684.0,99359.86603902915,2026-06-07 07:55:00,145.28454664580568,145.2810600730252,2026-06-07 07:55:00.681803873,145.26296204536425,2.394,0.2399823560708284,1.2457251930745585,0.2409423538332492,1.7266499029786362,0.681803
2026-06-24T07:21:29.833865+00:00,Trend Following,SPY,-1,1362.0,344181.6084483854,2026-06-01 06:30:00,252.72684912966358,252.7135890564477,2026-06-01 06:30:01.041152187,252.70308990336665,4.767,0.5246800354435626,0.4154566092089795,0.13850246157806761,1.0786391062306098,1.041152
2026-06-24T07:21:29.835291+00:00,Trend Following,SPY,-1,559.0,112447.17373461499,2026-06-10 00:36:00,201.2325639212863,201.2120888758325,2026-06-10 00:36:00.892950752,201.15773476675312,1.9565000000000001,1.017481716418519,2.7013341684915138,0.17399281235982939,3.892808697269862,0.89295
2026-06-24T07:21:29.836760+00:00,Trend Following,SPY,-1,1780.0,114877.2093936635,2026-06-10 04:11:00,64.56496085166236,64.55148388417035,2026-06-10 04:11:01.638990867,64.53775808632781,6.23,2.087350060193489,2.1263334344364297,0.5423181876442448,4.756001682274164,1.63899
2026-06-24T07:21:29.838240+00:00,Trend Following,SPY,1,3960.0,1012606.3210985644,2026-06-09 01:41:00,255.67560026219923,255.6880823136531,2026-06-09 01:41:00.786994155,255.70866694408193,13.86,0.48819877380055293,0.8050680439449432,0.13687451590232472,1.430141333647821,0.786994
2026-06-24T07:21:29.839704+00:00,Trend Following,SPY,-1,2445.0,141756.44995774617,2026-06-07 11:42:00,57.98135486039413,57.982379072243475,2026-06-07 11:42:01.451437970,57.97809814222747,8.557500000000001,-0.17664503560050404,0.7383156890937083,0.6036762350179314,1.1653468885111358,1.4514369999999999
2026-06-24T07:21:29.841159+00:00,Trend Following,SPY,-1,811.0,178596.09847369484,2026-06-08 22:34:00,220.3304157933561,220.25702174948077,2026-06-08 22:34:00.560386115,220.2171374521515,2.8385000000000002,3.3310899728058545,1.8108070749564713,0.1589340430310732,5.300831090793399,0.560386
2026-06-24T07:21:29.842577+00:00,Trend Following,SPY,-1,1214.0,201549.22494816483,2026-06-04 22:51:00,166.04914906989325,166.0380617325553,2026-06-04 22:51:01.519794069,166.02077837575357,4.249,0.6677141918558028,1.0409274007044131,0.2108169853341174,1.9194585778943334,1.519794
2026-06-24T07:21:29.844032+00:00,Trend Following,SPY,1,1399.0,508836.34036025626,2026-06-02 12:11:00,363.65627014391833,363.68802068668055,2026-06-02 12:11:01.054107627,363.71432477502236,4.8965000000000005,0.8730921303693046,0.72325968537958,0.09622936908423792,1.6925811848331225,1.054107
